id,measurement,replicate,value,sample_notes,flag
20240320_Harvell Dam,air_temperature,1,13.8,NA,NA
20240320_Harvell Dam,water_temperature,1,14.1,NA,NA
20240320_Harvell Dam,pH,1,7.81,NA,NA
20240320_Harvell Dam,do_percent,1,110,NA,NA
20240320_Harvell Dam,do_mgl,1,13.31,NA,NA
20240320_Harvell Dam,turbidity,1,25.5,NA,NA
20240320_Harvell Dam,total_e_ecoli,1,4,NA,NA
20240320_Harvell Dam,total_e_ecoli,2,5,NA,NA
20240320_Harvell Dam,total_coliform,1,1,NA,NA
20240320_Harvell Dam,total_coliform,2,0,NA,NA
20240320_Fleets Branch,air_temperature,1,13.8,NA,NA
20240320_Fleets Branch,water_temperature,1,15.1,NA,NA
20240320_Fleets Branch,pH,1,9.28,NA,NA
20240320_Fleets Branch,do_percent,1,114.8,NA,NA
20240320_Fleets Branch,do_mgl,1,11.55,NA,NA
20240320_Fleets Branch,turbidity,1,4.5,NA,NA
20240320_Fleets Branch,total_e_ecoli,1,NA,NA,NA
20240320_Fleets Branch,total_e_ecoli,2,NA,NA,NA
20240320_Fleets Branch,total_coliform,1,NA,NA,NA
20240320_Fleets Branch,total_coliform,2,NA,NA,NA
20240320_Rapids Site,air_temperature,1,13.8,NA,NA
20240320_Rapids Site,water_temperature,1,14.7,NA,NA
20240320_Rapids Site,pH,1,7.65,NA,NA
20240320_Rapids Site,do_percent,1,107.6,NA,NA
20240320_Rapids Site,do_mgl,1,10.92,NA,NA
20240320_Rapids Site,turbidity,1,25.8,NA,NA
20240320_Rapids Site,total_e_ecoli,1,NA,NA,NA
20240320_Rapids Site,total_e_ecoli,2,NA,NA,NA
20240320_Rapids Site,total_coliform,1,NA,NA,NA
20240320_Rapids Site,total_coliform,2,NA,NA,NA
20240320_Tidal Site,air_temperature,1,13.8,NA,NA
20240320_Tidal Site,water_temperature,1,14.7,NA,NA
20240320_Tidal Site,pH,1,7.52,NA,NA
20240320_Tidal Site,do_percent,1,97.4,NA,NA
20240320_Tidal Site,do_mgl,1,9.94,NA,NA
20240320_Tidal Site,turbidity,1,25.4,NA,NA
20240320_Tidal Site,total_e_ecoli,1,NA,NA,NA
20240320_Tidal Site,total_e_ecoli,2,NA,NA,NA
20240320_Tidal Site,total_coliform,1,NA,NA,NA
20240320_Tidal Site,total_coliform,2,NA,NA,NA
20240403_Willcox Dam,air_temperature,NA,25.1,rain in the AM; more rain on the way,NA
20240403_Willcox Dam,water_temperature,1,16.6,tornado warning; temperature drop with coming rain,NA
20240403_Willcox Dam,water_temperature,2,16.7,NA,NA
20240403_Willcox Dam,pH,1,7.42,NA,NA
20240403_Willcox Dam,pH,2,7.24,NA,NA
20240403_Willcox Dam,do_percent,1,90,NA,NA
20240403_Willcox Dam,do_percent,2,97.9,NA,NA
20240403_Willcox Dam,do_mgl,1,8.75,NA,NA
