date,sameday,oneday,mean1,mean2,mean3,mean4,mean5,mean6,mean7,tobs,tobs_mean,tmax,tmax_mean
2024-03-20,0,0,0,0,0,0,0.08333333333333333,0.07142857142857142,0.0625,5,7.566666666666666,21.1,20.975
2024-04-03,23.6,0,11.8,7.866666666666667,6.800000000000001,5.44,4.533333333333333,4.285714285714286,8.262500000000001,6.1,8.6,24.4,20.349999999999998
2024-04-10,0,0,0,0,0,0,0,0.18571428571428572,3.1125000000000003,16.7,10.016666666666667,23.3,19.7
2024-04-17,0,0,0,2.533333333333333,1.9,1.52,1.2666666666666666,1.2714285714285714,1.1125,17.8,13.15,23.9,24.4375
2024-04-24,1,0,0.5,0.3333333333333333,1.975,1.58,1.4500000000000002,1.2428571428571429,1.0875000000000001,9.4,9.716666666666667,22.8,20.9
2024-04-25,0,1,0.5,0.3333333333333333,0.25,1.58,1.3166666666666667,1.2428571428571429,1.0875000000000001,8.3,9.066666666666666,17.8,20.1375
2024-05-01,0,0,0,0,0,0,0,0,0.125,15.6,15.383333333333333,28.3,24.3
2024-05-08,0,0,0,4.833333333333333,11,14.9,12.416666666666666,10.642857142857142,9.3125,19.4,18.8,32.2,27.7125
2024-05-23,0,0,0,0,0,0,3.1833333333333336,4.9,4.2875,20.6,17.433333333333334,30.6,26.450000000000003
2024-05-30,3.3,2.8,3.05,2.033333333333333,7.050000000000001,6.3,5.25,6.385714285714286,5.5875,10.6,16.5,24.4,28.8125
2024-06-06,1,0,0.5,0.6,0.95,0.76,0.6333333333333333,0.5428571428571428,0.8875,20.6,20.383333333333333,30.6,27.9875
2024-06-13,0,0,0,0,0,0,0,0,0.125,20.6,18.616666666666667,31.1,29.45
2024-06-20,0,0,0,0,0,0,0,0,0,20,18.983333333333334,31.7,31.6875
2024-06-27,1.3,0.3,0.8,0.5333333333333333,0.4,3.42,2.85,2.442857142857143,2.1375,22.2,22.6,31.1,34.1625
2024-07-02,0,0,0,9.833333333333334,7.375,5.9,5.133333333333334,4.442857142857143,3.8875,16.1,20.933333333333334,26.1,32.2
2024-07-11,11.7,0,5.85,3.9,3.55,2.84,2.3666666666666667,2.0285714285714285,2.2874999999999996,24.4,24.616666666666667,31.1,34.45
2024-07-18,11.9,9.9,10.9,7.266666666666667,5.45,4.36,4.483333333333333,11.242857142857142,11.299999999999999,24.4,24.45,27.8,32.1625
2024-07-26,0,2.8,1.4,2.533333333333333,9.075,8.84,7.966666666666667,10.814285714285713,9.5,20,23.416666666666668,28.3,29.45
2024-08-15,0,0,0,0,0,0,0,0.2571428571428572,2.9250000000000003,18.3,19.96666666666667,30,29.6375
2024-08-22,0,0,0,0,6.35,6.699999999999999,5.583333333333333,4.785714285714286,4.1875,13.3,17.5,26.7,28.6875
2024-09-05,0,0,0,0,0,0.6599999999999999,0.5499999999999999,1.0857142857142856,7.9375,15.6,18.53333333333333,26.1,28.5375
2024-09-26,0.5,1.5,1,6.833333333333333,5.575,4.46,4.266666666666667,3.657142857142857,3.2,23.9,20.933333333333334,27.8,26.375
2024-10-10,0,0,0,0,0,0,0,0,0,6.1,12.116666666666667,18.3,24.2375
2024-10-17,0,0,0,0,0,0,0,0,0,3.3,8.983333333333333,16.1,20.35
2024-10-24,0,0,0,0,0,0,0,0,0,5,7.5,22.2,22.837500000000002
2024-11-01,0,0,0,0,0,0,0,0,0,16.1,11.466666666666667,25,23.1125
2024-11-14,39.4,0,19.7,13.133333333333333,9.975,14.12,11.766666666666666,10.085714285714285,8.825,11.7,8.7,12.2,19.8625
2024-11-21,0,0.8,0.4,0.7000000000000001,0.525,0.42000000000000004,0.35000000000000003,0.3,5.1875,1.1,6.483333333333333,13.3,17.1375
2024-12-05,0,0,0,0,0,0,0,0,0.575,-6.1,-2.15,10.6,9.174999999999999
2024-12-13,0,0,0,10.4,8.125,6.5,5.416666666666667,4.642857142857142,4.0625,0.6,6.216666666666667,10.6,13.4125
