id,date,datetime,site_name,site_conditions,site_notes,river_height_feet
20240320_Fleets Branch,2024-03-20,2024-03-20T15:30:00Z,Fleets Branch,"sunny, windy",lots of algae on the rocks,3.51
20240320_Harvell Dam,2024-03-20,2024-03-20T15:00:00Z,Harvell Dam,"sunny, windy",NA,3.53
20240320_Rapids Site,2024-03-20,2024-03-20T16:45:00Z,Rapids Site,"sunny, windy",NA,3.5
20240320_Tidal Site,2024-03-20,2024-03-20T17:55:00Z,Tidal Site,"sunny, windy",NA,3.45
20240403_Brickhouse Run,2024-04-03,2024-04-03T15:50:00Z,Brickhouse Run,"cloudy, rainy",tornado warning and incoming rain,4.5
20240403_Fleets Branch,2024-04-03,2024-04-03T15:20:00Z,Fleets Branch,"cloudy, rainy",morning rain and tornado warning,4.5
20240410_Fleets Branch,2024-04-10,2024-04-10T14:35:00Z,Fleets Branch,"warm, overcast",river level low,3.93
20240410_Harvell Dam,2024-04-10,2024-04-10T14:40:00Z,Harvell Dam,"warm, overcast",river level low,3.93
20240417_Fleets Branch,2024-04-17,2024-04-17T14:35:00Z,Fleets Branch,"partly sunny, humid",NA,4.81
20240417_Harvell Dam,2024-04-17,2024-04-17T14:50:00Z,Harvell Dam,"partly sunny, humid",NA,4.81
20240424_Fleets Branch,2024-04-24,2024-04-24T14:05:00Z,Fleets Branch,partly sunny,NA,3.06
20240424_Harvell Dam,2024-04-24,2024-04-24T14:15:00Z,Harvell Dam,partly sunny,NA,3.06
20240425_Brickhouse Run,2024-04-25,2024-04-25T11:41:00Z,Brickhouse Run,"partly sunny, cool",NA,3.12
20240425_Willcox Dam,2024-04-25,2024-04-25T11:15:00Z,Willcox Dam,"partly sunny, cool",NA,3.12
20240501_Fleets Branch,2024-05-01,2024-05-01T09:50:00Z,Fleets Branch,"sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,2.81
20240501_Harvell Dam,2024-05-01,2024-05-01T10:12:00Z,Harvell Dam,"sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,2.81
20240508_Fleets Branch,2024-05-08,2024-05-08T13:37:00Z,Fleets Branch,"Sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,4.28
20240508_Harvell Dam,2024-05-08,2024-05-08T13:54:00Z,Harvell Dam,"Sunny, hot",Low oxygen readings need to replace electolyte. Do not trust Data for oxygen flag,4.28
20240523_Fleets Branch,2024-05-23,2024-05-23T11:30:00Z,Fleets Branch,"sunny, warm",NA,4.19
20240523_Harvell Dam,2024-05-23,2024-05-23T11:50:00Z,Harvell Dam,"sunny, warm",NA,4.19
20240530_Fleets Branch,2024-05-30,2024-05-30T11:14:00Z,Fleets Branch,"sunny, cool",NA,2.9
20240530_Harvell Dam,2024-05-30,2024-05-30T11:45:00Z,Harvell Dam,"sunny, cool",NA,2.9
20240606_Brickhouse Run,2024-06-06,2024-06-06T10:51:00Z,Brickhouse Run,"slightly cloudy but sunny, windy",NA,2.83
20240606_Fleets Branch,2024-06-06,2024-06-06T11:57:00Z,Fleets Branch,"slightly cloudy but sunny, hot",NA,2.83
20240606_Harvell Dam,2024-06-06,2024-06-06T12:23:00Z,Harvell Dam,"slightly cloudy but sunny, hot",NA,2.83
20240606_Willcox Dam,2024-06-06,2024-06-06T10:23:00Z,Willcox Dam,"slightly cloudy but sunny, windy",NA,2.83
20240613_Fleets Branch,2024-06-13,2024-06-13T13:37:00Z,Fleets Branch,"sunny, hot",NA,2.21
20240613_Harvell Dam,2024-06-13,2024-06-13T14:00:00Z,Harvell Dam,"sunny, hot",NA,2.21
20240620_ Fleets Branch,2024-06-20,2024-06-20T11:57:00Z,Fleets Branch,"Sunny, hot",NA,1.91
20240620_Fleets Branch,2024-06-20,2024-06-20T11:57:00Z,Fleets Branch,"sunny, hot",Justicia blooming,1.9
20240620_Harvell Dam,2024-06-20,2024-06-20T12:10:00Z,Harvell Dam,"sunny, hot",Justicia blooming,1.9
20240627_Fleets Branch,2024-06-27,2024-06-27T11:25:00Z,Fleets Branch,"partly sunny, warm",NA,1.72
20240627_Harvell Dam,2024-06-27,2024-06-27T11:43:00Z,Harvell Dam,"partly sunny, warm",NA,1.72
20240702_Fleets Branch,2024-07-02,2024-07-02T12:22:00Z,Fleets Branch,"sunny, hot",NA,1.69
20240702_Harvell Dam,2024-07-02,2024-07-02T12:40:00Z,Harvell Dam,"sunny, hot",NA,1.69
20240711_Fleets Branch,2024-07-11,2024-07-11T14:07:00Z,Fleets Branch,"cloudy, hot",NA,1.82
20240711_Harvell Dam,2024-07-11,2024-07-11T14:40:00Z,Harvell Dam,"cloudy, hot",NA,1.82
20240718_Fleets Branch,2024-07-18,2024-07-18T14:43:00Z,Fleets Branch,"cloudy, rain, hot",NA,2.16
20240718_Harvell Dam,2024-07-18,2024-07-18T15:00:00Z,Harvell Dam,"cloudy, rain, hot",NA,2.16
20240726_Brickhouse Run,2024-07-26,2024-07-26T13:01:00Z,Brickhouse Run,"hot, sunny",NA,3
20240726_Fleets Branch,2024-07-26,2024-07-26T13:40:00Z,Fleets Branch,"hot, sunny",NA,2.99
20240726_Harvell Dam,2024-07-26,2024-07-26T13:53:00Z,Harvell Dam,"hot, sunny",NA,2.99
20240726_Willcox Dam,2024-07-26,2024-07-26T12:35:00Z,Willcox Dam,"hot, sunny",NA,3.01
20240815_Fleets Branch,2024-08-15,2024-08-15T09:54:00Z,Fleets Branch,"warm, slight overcast",Tropical storm Debby raised river levels,6.74
20240815_Harvell Dam,2024-08-15,2024-08-15T10:12:00Z,Harvell Dam,n/a,Tropical storm Debby raised river levels,6.74
20240822_Fleets Branch,2024-08-22,2024-08-22T10:15:00Z,Fleets Branch,"warm, sunny","Strong odor, evidence of raw sewage increase",2.31
20240822_Harvell Dam,2024-08-22,2024-08-22T10:01:00Z,Harvell Dam,"warm, sunny","Strong odor, evidence of raw sewage increase",2.31
20240905_Harvell Dam,2024-09-05,2024-09-05T09:47:00Z,Harvell Dam,"cool, overcast",out of Coliscan,2.03
20240926_Fleets Branch,2024-09-26,2024-09-26T10:40:00Z,Fleets Branch,"humid, water level increase after rain",NA,4.04
20240926_Harvell Dam,2024-09-26,2024-09-26T10:25:00Z,Harvell Dam,"humid, water level increase after rain",NA,4.04
20241010_Fleets Branch,2024-10-10,2024-10-10T10:25:00Z,Fleets Branch,"cool, sunny",creek has shifted with storm and sewer system construction,2.45
20241010_Harvell Dam,2024-10-10,2024-10-10T10:40:00Z,Harvell Dam,"cool, sunny",water level lower,2.45
20241024_Fleets Branch,2024-10-24,2024-10-24T09:35:00Z,Fleets Branch,"sunny, breezy, warm, water level low below 25 ft",Battery in turbidity never died,2.28
20241024_Harvell Dam,2024-10-24,2024-10-24T09:35:00Z,Harvell Dam,"sunny, breezy, warm, water level low below 25 ft",Battery in turbidity never died,2.28
20241101_Brickhouse Run,2024-11-01,2024-11-01T11:10:00Z,Brickhouse Run,overcast but warm and breezy,NA,2.15
20241101_Fleets Branch,2024-11-01,2024-11-01T11:31:00Z,Fleets Branch,overcast but warm and breezy,NA,2.15
20241101_Harvell Dam,2024-11-01,2024-11-01T11:37:00Z,Harvell Dam,overcast but warm and breezy,NA,2.15
20241101_Willcox Dam,2024-11-01,2024-11-01T10:40:00Z,Willcox Dam,overcast but warm and breezy,NA,2.15
20241114_Fleets Branch,2024-11-14,2024-11-14T10:55:00Z,Fleets Branch,"overcast, chilly, recent rains in the past week",NA,2.63
20241114_Harvell Dam,2024-11-14,2024-11-14T11:05:00Z,Harvell Dam,"overcast, chilly, recent rains in the past week",NA,2.63
20241121_Fleets Branch,2024-11-21,2024-11-21T09:20:00Z,Fleets Branch,"chilly, humid,sunny, creek river level up after recent rains(19/Nov)",Sewage smells in fleets Branch,2.74
20241121_Harvell Dam,2024-11-21,2024-11-21T09:32:00Z,Harvell Dam,"chilly, humid,sunny, creek river level up after recent rains(19/Nov)",Sewage smells in fleets Branch,2.74
20241205_Fleets Branch,2024-12-05,2024-12-05T10:25:00Z,Fleets Branch,"40.5F, overcast, rain drizzle",NA,2.59
20241205_Harvell Dam,2024-12-05,2024-12-05T12:00:00Z,Harvell Dam,"40.5F, overcast, rain drizzle",NA,2.59
20241213_Fleets Branch,2024-12-13,2024-12-13T11:00:00Z,Fleets Branch,"cold, sunny, recent rains 2 days ago",NA,3.04
20241213_Harvell Dam,2024-12-13,2024-12-13T11:00:00Z,Harvell Dam,"cold, sunny, recent rains 2 days ago",NA,3.04
NA,2024-10-17,2024-10-17T12:00:00Z,NA,potentially missing data?,NA,2.34
